dest_fips,county_state,total_in_exemptions
06037,"Los Angeles County, California",158722
04013,"Maricopa County, Arizona",126086
06065,"Riverside County, California",115246
48201,"Harris County, Texas",98680
06071,"San Bernardino County, California",98385
06073,"San Diego County, California",93641
17031,"Cook County, Illinois",93229
06059,"Orange County, California",89676
32003,"Clark County, Nevada",87588
12011,"Broward County, Florida",79004
36061,"New York County, New York",78277
48113,"Dallas County, Texas",77897
48439,"Tarrant County, Texas",66467
12095,"Orange County, Florida",65121
53033,"King County, Washington",64118
51059,"Fairfax County, Virginia",62558
36081,"Queens County, New York",60195
12099,"Palm Beach County, Florida",59115
12057,"Hillsborough County, Florida",57228
36047,"Kings County, New York",56729
06001,"Alameda County, California",55699
13121,"Fulton County, Georgia",54785
25017,"Middlesex County, Massachusetts",52958
06067,"Sacramento County, California",51223
48029,"Bexar County, Texas",50545
17043,"DuPage County, Illinois",50137
48085,"Collin County, Texas",49627
06085,"Santa Clara County, California",49487
12086,"Miami-Dade, Florida",47300
13135,"Gwinnett County, Georgia",46435
13089,"DeKalb County, Georgia",45516
27053,"Hennepin County, Minnesota",43559
26125,"Oakland County, Michigan",43427
48453,"Travis County, Texas",42490
06013,"Contra Costa County, California",42407
24033,"Prince George, Maryland",41247
13067,"Cobb County, Georgia",40401
36005,"Bronx County, New York",39476
24005,"Baltimore County, Maryland",38971
37119,"Mecklenburg County, North Carolina",38687
36059,"Nassau County, New York",38660
08031,"Denver County, Colorado",38564
29189,"St. Louis County, Missouri",38380
24031,"Montgomery County, Maryland",38172
08005,"Arapahoe County, Colorado",37922
48121,"Denton County, Texas",37552
12031,"Duval County, Florida",37184
39049,"Franklin County, Ohio",36859
17197,"Will County, Illinois",36698
12103,"Pinellas County, Florida",36253
36103,"Suffolk County, New York",35341
48157,"Fort Bend County, Texas",35106
37183,"Wake County, North Carolina",34917
26163,"Wayne County, Michigan",34673
34023,"Middlesex County, New Jersey",34510
51153,"Prince William County, Virginia",33382
06075,"San Francisco County, California",33327
53053,"Pierce County, Washington",31277
25025,"Suffolk County, Massachusetts",31147
18097,"Marion County, Indiana",31129
34003,"Bergen County, New Jersey",30802
06081,"San Mateo County, California",30648
06077,"San Joaquin County, California",30176
12071,"Lee County, Florida",29614
12101,"Pasco County, Florida",29392
25021,"Norfolk County, Massachusetts",28906
41051,"Multnomah County, Oregon",28193
17097,"Lake County, Illinois",28025
08001,"Adams County, Colorado",27997
04019,"Pima County, Arizona",27960
53061,"Snohomish County, Washington",27804
51810,"Virginia Beach city, Virginia",27750
12117,"Seminole County, Florida",27660
08059,"Jefferson County, Colorado",27595
11001,"District of Columbia, District Of Columbia",27561
15003,"Honolulu County, Hawaii",27367
49035,"Salt Lake County, Utah",26691
08041,"El Paso County, Colorado",26030
47037,"Davidson County, Tennessee",25836
36119,"Westchester County, New York",25826
26099,"Macomb County, Michigan",25627
24003,"Anne Arundel County, Maryland",25579
51107,"Loudoun County, Virginia",24942
34017,"Hudson County, New Jersey",24657
34013,"Essex County, New Jersey",24549
06111,"Ventura County, California",24156
40109,"Oklahoma County, Oklahoma",23961
17089,"Kane County, Illinois",23897
41067,"Washington County, Oregon",23742
20091,"Johnson County, Kansas",23460
35001,"Bernalillo County, New Mexico",23382
09001,"Fairfield County, Connecticut",23316
06029,"Kern County, California",23227
39035,"Cuyahoga County, Ohio",23030
47157,"Shelby County, Tennessee",22742
12009,"Brevard County, Florida",22698
48491,"Williamson County, Texas",22476
48339,"Montgomery County, Texas",22462
12127,"Volusia County, Florida",22435
06061,"Placer County, California",22399
27123,"Ramsey County, Minnesota",22078
12105,"Polk County, Florida",22001
24510,"Baltimore city, Maryland",21741
41005,"Clackamas County, Oregon",21564
09009,"New Haven County, Connecticut",21470
34039,"Union County, New Jersey",21096
13063,"Clayton County, Georgia",21020
25009,"Essex County, Massachusetts",20870
12097,"Osceola County, Florida",20613
08035,"Douglas County, Colorado",20609
29095,"Jackson County, Missouri",20419
09003,"Hartford County, Connecticut",20261
27037,"Dakota County, Minnesota",20193
34029,"Ocean County, New Jersey",20126
34027,"Morris County, New Jersey",20074
34025,"Monmouth County, New Jersey",19919
25027,"Worcester County, Massachusetts",19763
39061,"Hamilton County, Ohio",19638
55079,"Milwaukee County, Wisconsin",19524
12115,"Sarasota County, Florida",19175
40143,"Tulsa County, Oklahoma",18729
34005,"Burlington County, New Jersey",18716
12069,"Lake County, Florida",18491
37051,"Cumberland County, North Carolina",18434
06019,"Fresno County, California",18295
53011,"Clark County, Washington",18167
51013,"Arlington County, Virginia",17760
06095,"Solano County, California",17607
51087,"Henrico County, Virginia",17409
06099,"Stanislaus County, California",17351
22051,"Jefferson Parish, Louisiana",17252
27003,"Anoka County, Minnesota",17108
34007,"Camden County, New Jersey",17096
21111,"Jefferson County, Kentucky",16939
01073,"Jefferson County, Alabama",16856
34035,"Somerset County, New Jersey",16629
48027,"Bell County, Texas",16341
29510,"St. Louis city, Missouri",16227
12111,"St. Lucie County, Florida",16207
32031,"Washoe County, Nevada",16182
31055,"Douglas County, Nebraska",16169
25023,"Plymouth County, Massachusetts",16046
45019,"Charleston County, South Carolina",15987
12081,"Manatee County, Florida",15889
49049,"Utah County, Utah",15756
29183,"St. Charles County, Missouri",15634
51041,"Chesterfield County, Virginia",15481
37081,"Guilford County, North Carolina",15454
18057,"Hamilton County, Indiana",15440
33011,"Hillsborough County, New Hampshire",15388
24027,"Howard County, Maryland",15235
48141,"El Paso County, Texas",15200
12083,"Marion County, Florida",15184
55025,"Dane County, Wisconsin",15179
34031,"Passaic County, New Jersey",15078
55133,"Waukesha County, Wisconsin",14925
49011,"Davis County, Utah",14827
26081,"Kent County, Michigan",14821
51710,"Norfolk city, Virginia",14804
12021,"Collier County, Florida",14798
16001,"Ada County, Idaho",14759
45079,"Richland County, South Carolina",14584
18089,"Lake County, Indiana",14425
44007,"Providence County, Rhode Island",14337
26161,"Washtenaw County, Michigan",14276
39113,"Montgomery County, Ohio",14260
51550,"Chesapeake city, Virginia",14219
33015,"Rockingham County, New Hampshire",14113
25005,"Bristol County, Massachusetts",14021
39153,"Summit County, Ohio",13992
39041,"Delaware County, Ohio",13969
51510,"Alexandria city, Virginia",13947
17111,"McHenry County, Illinois",13891
36071,"Orange County, New York",13814
36085,"Richmond County, New York",13776
39017,"Butler County, Ohio",13744
10003,"New Castle County, Delaware",13738
53063,"Spokane County, Washington",13440
45045,"Greenville County, South Carolina",13405
34021,"Mercer County, New Jersey",13103
12033,"Escambia County, Florida",13102
08013,"Boulder County, Colorado",12977
13151,"Henry County, Georgia",12825
47093,"Knox County, Tennessee",12782
22071,"Orleans Parish, Louisiana",12704
48039,"Brazoria County, Texas",12632
12019,"Clay County, Florida",12450
04021,"Pinal County, Arizona",12373
05119,"Pulaski County, Arkansas",12244
36055,"Monroe County, New York",12216
48167,"Galveston County, Texas",12078
48215,"Hidalgo County, Texas",12039
13057,"Cherokee County, Georgia",12014
51700,"Newport News city, Virginia",11991
40027,"Cleveland County, Oklahoma",11950
19153,"Polk County, Iowa",11801
22033,"East Baton Rouge Parish, Louisiana",11774
36029,"Erie County, New York",11769
37133,"Onslow County, North Carolina",11740
12109,"St. Johns County, Florida",11551
06097,"Sonoma County, California",11432
39165,"Warren County, Ohio",11362
37063,"Durham County, North Carolina",11334
47149,"Rutherford County, Tennessee",11126
36001,"Albany County, New York",11042
06053,"Monterey County, California",10961
06083,"Santa Barbara County, California",10955
02020,"Anchorage Borough, Alaska",10937
27163,"Washington County, Minnesota",10922
24021,"Frederick County, Maryland",10764
34015,"Gloucester County, New Jersey",10691
08123,"Weld County, Colorado",10657
29047,"Clay County, Missouri",10588
53067,"Thurston County, Washington",10508
08069,"Larimer County, Colorado",10494
53035,"Kitsap County, Washington",10357
45063,"Lexington County, South Carolina",10341
29077,"Greene County, Missouri",10263
41047,"Marion County, Oregon",10257
24025,"Harford County, Maryland",10124
37067,"Forsyth County, North Carolina",10124
26065,"Ingham County, Michigan",10123
01117,"Shelby County, Alabama",9981
51760,"Richmond city, Virginia",9955
48355,"Nueces County, Texas",9886
06107,"Tulare County, California",9854
04015,"Mohave County, Arizona",9767
51179,"Stafford County, Virginia",9726
12073,"Leon County, Florida",9716
23005,"Cumberland County, Maine",9681
20173,"Sedgwick County, Kansas",9666
12091,"Okaloosa County, Florida",9575
41039,"Lane County, Oregon",9507
26049,"Genesee County, Michigan",9465
06047,"Merced County, California",9431
06017,"El Dorado County, California",9375
22103,"St. Tammany Parish, Louisiana",9307
39025,"Clermont County, Ohio",9281
12053,"Hernando County, Florida",9266
45015,"Berkeley County, South Carolina",9244
04025,"Yavapai County, Arizona",9182
31153,"Sarpy County, Nebraska",9096
45051,"Horry County, South Carolina",9075
13117,"Forsyth County, Georgia",9015
05007,"Benton County, Arkansas",9013
12001,"Alachua County, Florida",8933
36091,"Saratoga County, New York",8906
13215,"Muscogee County, Georgia",8843
29099,"Jefferson County, Missouri",8811
36027,"Dutchess County, New York",8788
21067,"Fayette County, Kentucky",8784
34001,"Atlantic County, New Jersey",8736
06113,"Yolo County, California",8635
13097,"Douglas County, Georgia",8610
18063,"Hendricks County, Indiana",8608
09011,"New London County, Connecticut",8589
26139,"Ottawa County, Michigan",8567
28033,"DeSoto County, Mississippi",8547
36067,"Onondaga County, New York",8509
16027,"Canyon County, Idaho",8483
13051,"Chatham County, Georgia",8353
12015,"Charlotte County, Florida",8340
37129,"New Hanover County, North Carolina",8335
39095,"Lucas County, Ohio",8301
06041,"Marin County, California",8274
47187,"Williamson County, Tennessee",8255
49057,"Weber County, Utah",8251
39045,"Fairfield County, Ohio",8244
06079,"San Luis Obispo County, California",8205
39093,"Lorain County, Ohio",8125
28049,"Hinds County, Mississippi",8102
51650,"Hampton city, Virginia",8093
12085,"Martin County, Florida",8052
12113,"Santa Rosa County, Florida",7955
39057,"Greene County, Ohio",7849
48303,"Lubbock County, Texas",7849
01089,"Madison County, Alabama",7841
28047,"Harrison County, Mississippi",7836
26093,"Livingston County, Michigan",7821
48251,"Johnson County, Texas",7819
27139,"Scott County, Minnesota",7809
17163,"St. Clair County, Illinois",7796
24017,"Charles County, Maryland",7727
51177,"Spotsylvania County, Virginia",7721
41017,"Deschutes County, Oregon",7682
25013,"Hampden County, Massachusetts",7678
21015,"Boone County, Kentucky",7615
37025,"Cabarrus County, North Carolina",7606
47125,"Montgomery County, Tennessee",7591
21117,"Kenton County, Kentucky",7559
47065,"Hamilton County, Tennessee",7508
24013,"Carroll County, Maryland",7471
22017,"Caddo Parish, Louisiana",7433
13245,"Richmond County, Georgia",7399
13223,"Paulding County, Georgia",7325
01101,"Montgomery County, Alabama",7237
39151,"Stark County, Ohio",7170
23031,"York County, Maine",7167
37179,"Union County, North Carolina",7135
39103,"Medina County, Ohio",7127
36087,"Rockland County, New York",7103
48061,"Cameron County, Texas",7047
17093,"Kendall County, Illinois",6988
17119,"Madison County, Illinois",6957
06087,"Santa Cruz County, California",6893
18081,"Johnson County, Indiana",6883
26077,"Kalamazoo County, Michigan",6877
48139,"Ellis County, Texas",6877
05143,"Washington County, Arkansas",6856
45091,"York County, South Carolina",6839
55087,"Outagamie County, Wisconsin",6807
22055,"Lafayette Parish, Louisiana",6800
48209,"Hays County, Texas",6762
37021,"Buncombe County, North Carolina",6761
17201,"Winnebago County, Illinois",6757
35043,"Sandoval County, New Mexico",6674
25001,"Barnstable County, Massachusetts",6655
06007,"Butte County, California",6613
35045,"San Juan County, New Mexico",6602
45013,"Beaufort County, South Carolina",6575
18003,"Allen County, Indiana",6527
41029,"Jackson County, Oregon",6439
28121,"Rankin County, Mississippi",6432
31109,"Lancaster County, Nebraska",6422
44003,"Kent County, Rhode Island",6376
37101,"Johnston County, North Carolina",6371
33013,"Merrimack County, New Hampshire",6361
49053,"Washington County, Utah",6290
48381,"Randall County, Texas",6256
48423,"Smith County, Texas",6234
35013,"Dona Ana County, New Mexico",6189
09005,"Litchfield County, Connecticut",6167
13073,"Columbia County, Georgia",6164
18127,"Porter County, Indiana",6159
13217,"Newton County, Georgia",6149
53005,"Benton County, Washington",6099
48375,"Potter County, Texas",6068
12035,"Flagler County, Florida",6059
46099,"Minnehaha County, South Dakota",6036
48257,"Kaufman County, Texas",6019
55009,"Brown County, Wisconsin",6004
55059,"Kenosha County, Wisconsin",5970
22015,"Bossier Parish, Louisiana",5966
27171,"Wright County, Minnesota",5965
04027,"Yuma County, Arizona",5934
09007,"Middlesex County, Connecticut",5919
06089,"Shasta County, California",5908
16055,"Kootenai County, Idaho",5906
39085,"Lake County, Ohio",5902
53073,"Whatcom County, Washington",5870
48367,"Parker County, Texas",5855
04005,"Coconino County, Arizona",5845
34037,"Sussex County, New Jersey",5821
37057,"Davidson County, North Carolina",5814
01097,"Mobile County, Alabama",5786
12061,"Indian River County, Florida",5774
55101,"Racine County, Wisconsin",5708
37085,"Harnett County, North Carolina",5683
39133,"Portage County, Ohio",5657
37071,"Gaston County, North Carolina",5638
29165,"Platte County, Missouri",5624
55139,"Winnebago County, Wisconsin",5620
40017,"Canadian County, Oklahoma",5598
06039,"Madera County, California",5595
48309,"McLennan County, Texas",5584
18141,"St. Joseph County, Indiana",5583
48091,"Comal County, Texas",5535
13247,"Rockdale County, Georgia",5530
51740,"Portsmouth city, Virginia",5527
13113,"Fayette County, Georgia",5522
37035,"Catawba County, North Carolina",5513
