orig_fips,county_state,total_out_exemptions
06037,"Los Angeles County, California",245959
17031,"Cook County, Illinois",171269
48201,"Harris County, Texas",121938
06073,"San Diego County, California",114115
06059,"Orange County, California",112946
48113,"Dallas County, Texas",110981
36081,"Queens County, New York",96762
36047,"Kings County, New York",94744
36061,"New York County, New York",89059
04013,"Maricopa County, Arizona",87481
06001,"Alameda County, California",79633
06085,"Santa Clara County, California",75722
12011,"Broward County, Florida",74307
51059,"Fairfax County, Virginia",73835
53033,"King County, Washington",71390
06071,"San Bernardino County, California",71143
12086,"Miami-Dade, Florida",69567
25017,"Middlesex County, Massachusetts",68277
13121,"Fulton County, Georgia",64087
48439,"Tarrant County, Texas",63415
06065,"Riverside County, California",61755
17043,"DuPage County, Illinois",57075
27053,"Hennepin County, Minnesota",56197
13089,"DeKalb County, Georgia",55452
12095,"Orange County, Florida",55405
36005,"Bronx County, New York",55391
26163,"Wayne County, Michigan",54844
26125,"Oakland County, Michigan",48180
25025,"Suffolk County, Massachusetts",48097
06075,"San Francisco County, California",47614
08031,"Denver County, Colorado",47032
32003,"Clark County, Nevada",46590
06067,"Sacramento County, California",46574
24031,"Montgomery County, Maryland",46499
36059,"Nassau County, New York",45747
29189,"St. Louis County, Missouri",45480
39049,"Franklin County, Ohio",45145
48029,"Bexar County, Texas",44936
48453,"Travis County, Texas",44786
24033,"Prince George, Maryland",44736
12057,"Hillsborough County, Florida",43851
06013,"Contra Costa County, California",43457
13067,"Cobb County, Georgia",43235
06081,"San Mateo County, California",40933
12099,"Palm Beach County, Florida",39201
18097,"Marion County, Indiana",38941
08005,"Arapahoe County, Colorado",38581
41051,"Multnomah County, Oregon",38139
36103,"Suffolk County, New York",37047
13135,"Gwinnett County, Georgia",36778
34023,"Middlesex County, New Jersey",36682
12031,"Duval County, Florida",36364
39035,"Cuyahoga County, Ohio",35739
24005,"Baltimore County, Maryland",34677
34017,"Hudson County, New Jersey",34595
11001,"District of Columbia, District Of Columbia",34011
34003,"Bergen County, New Jersey",33756
48085,"Collin County, Texas",33545
37119,"Mecklenburg County, North Carolina",33499
12103,"Pinellas County, Florida",33432
49035,"Salt Lake County, Utah",33287
