pair_1_fips,pair_1_county,pair_2_fips,pair_2_county,total_exemptions
06037,"Los Angeles County, California",06071,"San Bernardino County, California",67982
06037,"Los Angeles County, California",06059,"Orange County, California",63896
12011,"Broward County, Florida",12086,"Miami-Dade, Florida",43204
17031,"Cook County, Illinois",17043,"DuPage County, Illinois",42666
48157,"Fort Bend County, Texas",48201,"Harris County, Texas",39315
06059,"Orange County, California",06065,"Riverside County, California",36482
06065,"Riverside County, California",06071,"San Bernardino County, California",35926
36047,"Kings County, New York",36081,"Queens County, New York",35733
48085,"Collin County, Texas",48113,"Dallas County, Texas",33783
48113,"Dallas County, Texas",48439,"Tarrant County, Texas",32092
06037,"Los Angeles County, California",06065,"Riverside County, California",30332
24005,"Baltimore County, Maryland",24510,"Baltimore city, Maryland",28551
17031,"Cook County, Illinois",17197,"Will County, Illinois",27991
06065,"Riverside County, California",06073,"San Diego County, California",27979
26125,"Oakland County, Michigan",26163,"Wayne County, Michigan",27728
36005,"Bronx County, New York",36061,"New York County, New York",26782
53033,"King County, Washington",53061,"Snohomish County, Washington",26423
29189,"St. Louis County, Missouri",29510,"St. Louis city, Missouri",26361
13089,"DeKalb County, Georgia",13121,"Fulton County, Georgia",26162
08005,"Arapahoe County, Colorado",08031,"Denver County, Colorado",26076
06001,"Alameda County, California",06013,"Contra Costa County, California",24642
12011,"Broward County, Florida",12099,"Palm Beach County, Florida",23863
36059,"Nassau County, New York",36081,"Queens County, New York",23848
17031,"Cook County, Illinois",17097,"Lake County, Illinois",23593
36047,"Kings County, New York",36061,"New York County, New York",23225
25017,"Middlesex County, Massachusetts",25025,"Suffolk County, Massachusetts",22872
12095,"Orange County, Florida",12117,"Seminole County, Florida",22726
53033,"King County, Washington",53053,"Pierce County, Washington",21111
48113,"Dallas County, Texas",48121,"Denton County, Texas",21023
48453,"Travis County, Texas",48491,"Williamson County, Texas",20841
36059,"Nassau County, New York",36103,"Suffolk County, New York",20260
48201,"Harris County, Texas",48339,"Montgomery County, Texas",19747
13089,"DeKalb County, Georgia",13135,"Gwinnett County, Georgia",19682
11001,"District of Columbia, District Of Columbia",24033,"Prince George, Maryland",18590
51059,"Fairfax County, Virginia",51153,"Prince William County, Virginia",18560
06075,"San Francisco County, California",06081,"San Mateo County, California",17586
06037,"Los Angeles County, California",06111,"Ventura County, California",17354
26099,"Macomb County, Michigan",26125,"Oakland County, Michigan",17246
24031,"Montgomery County, Maryland",24033,"Prince George, Maryland",17192
06037,"Los Angeles County, California",06073,"San Diego County, California",17001
06001,"Alameda County, California",06085,"Santa Clara County, California",16864
36061,"New York County, New York",36081,"Queens County, New York",16791
51059,"Fairfax County, Virginia",51107,"Loudoun County, Virginia",16630
41005,"Clackamas County, Oregon",41051,"Multnomah County, Oregon",16422
08031,"Denver County, Colorado",08059,"Jefferson County, Colorado",15845
06037,"Los Angeles County, California",32003,"Clark County, Nevada",15352
27053,"Hennepin County, Minnesota",27123,"Ramsey County, Minnesota",15161
25021,"Norfolk County, Massachusetts",25025,"Suffolk County, Massachusetts",14934
06061,"Placer County, California",06067,"Sacramento County, California",14610
22051,"Jefferson Parish, Louisiana",22071,"Orleans Parish, Louisiana",14586
06059,"Orange County, California",06071,"San Bernardino County, California",14345
13067,"Cobb County, Georgia",13121,"Fulton County, Georgia",14195
26099,"Macomb County, Michigan",26163,"Wayne County, Michigan",13929
55079,"Milwaukee County, Wisconsin",55133,"Waukesha County, Wisconsin",13925
39041,"Delaware County, Ohio",39049,"Franklin County, Ohio",13800
04013,"Maricopa County, Arizona",04021,"Pinal County, Arizona",13673
08001,"Adams County, Colorado",08031,"Denver County, Colorado",13319
51013,"Arlington County, Virginia",51059,"Fairfax County, Virginia",13307
17031,"Cook County, Illinois",17089,"Kane County, Illinois",13301
25009,"Essex County, Massachusetts",25017,"Middlesex County, Massachusetts",13176
12057,"Hillsborough County, Florida",12101,"Pasco County, Florida",13110
41051,"Multnomah County, Oregon",41067,"Washington County, Oregon",13063
06081,"San Mateo County, California",06085,"Santa Clara County, California",13046
17043,"DuPage County, Illinois",17089,"Kane County, Illinois",12899
13063,"Clayton County, Georgia",13121,"Fulton County, Georgia",12881
29183,"St. Charles County, Missouri",29189,"St. Louis County, Missouri",12552
17043,"DuPage County, Illinois",17197,"Will County, Illinois",12449
48167,"Galveston County, Texas",48201,"Harris County, Texas",12438
12095,"Orange County, Florida",12097,"Osceola County, Florida",12338
12057,"Hillsborough County, Florida",12103,"Pinellas County, Florida",12217
06001,"Alameda County, California",06077,"San Joaquin County, California",12153
25017,"Middlesex County, Massachusetts",25027,"Worcester County, Massachusetts",11864
40027,"Cleveland County, Oklahoma",40109,"Oklahoma County, Oklahoma",11817
17031,"Cook County, Illinois",18089,"Lake County, Indiana",11791
27003,"Anoka County, Minnesota",27053,"Hennepin County, Minnesota",11626
06059,"Orange County, California",06073,"San Diego County, California",11601
06001,"Alameda County, California",06075,"San Francisco County, California",11489
51059,"Fairfax County, Virginia",51510,"Alexandria city, Virginia",11386
48039,"Brazoria County, Texas",48201,"Harris County, Texas",11372
18057,"Hamilton County, Indiana",18097,"Marion County, Indiana",11226
08001,"Adams County, Colorado",08059,"Jefferson County, Colorado",11204
25017,"Middlesex County, Massachusetts",25021,"Norfolk County, Massachusetts",11203
39017,"Butler County, Ohio",39061,"Hamilton County, Ohio",11151
27037,"Dakota County, Minnesota",27053,"Hennepin County, Minnesota",10983
48085,"Collin County, Texas",48121,"Denton County, Texas",10879
36047,"Kings County, New York",36085,"Richmond County, New York",10803
12019,"Clay County, Florida",12031,"Duval County, Florida",10602
36005,"Bronx County, New York",36119,"Westchester County, New York",10519
51710,"Norfolk city, Virginia",51810,"Virginia Beach city, Virginia",10484
09001,"Fairfield County, Connecticut",09009,"New Haven County, Connecticut",10414
34013,"Essex County, New Jersey",34039,"Union County, New Jersey",10280
34003,"Bergen County, New Jersey",34031,"Passaic County, New Jersey",10151
06029,"Kern County, California",06037,"Los Angeles County, California",10059
13121,"Fulton County, Georgia",13135,"Gwinnett County, Georgia",9933
08005,"Arapahoe County, Colorado",08035,"Douglas County, Colorado",9799
36005,"Bronx County, New York",36081,"Queens County, New York",9738
36005,"Bronx County, New York",36047,"Kings County, New York",9730
06001,"Alameda County, California",06081,"San Mateo County, California",9708
31055,"Douglas County, Nebraska",31153,"Sarpy County, Nebraska",9606
49035,"Salt Lake County, Utah",49049,"Utah County, Utah",9566
45063,"Lexington County, South Carolina",45079,"Richland County, South Carolina",9550
01073,"Jefferson County, Alabama",01117,"Shelby County, Alabama",9434
25021,"Norfolk County, Massachusetts",25023,"Plymouth County, Massachusetts",9420
36081,"Queens County, New York",36103,"Suffolk County, New York",9313
12101,"Pasco County, Florida",12103,"Pinellas County, Florida",9309
49011,"Davis County, Utah",49057,"Weber County, Utah",9134
20091,"Johnson County, Kansas",29095,"Jackson County, Missouri",9063
04013,"Maricopa County, Arizona",06037,"Los Angeles County, California",9039
34003,"Bergen County, New Jersey",34017,"Hudson County, New Jersey",8972
39045,"Fairfield County, Ohio",39049,"Franklin County, Ohio",8756
51087,"Henrico County, Virginia",51760,"Richmond city, Virginia",8741
34025,"Monmouth County, New Jersey",34029,"Ocean County, New Jersey",8595
34023,"Middlesex County, New Jersey",34035,"Somerset County, New Jersey",8564
27123,"Ramsey County, Minnesota",27163,"Washington County, Minnesota",8557
48121,"Denton County, Texas",48439,"Tarrant County, Texas",8519
29099,"Jefferson County, Missouri",29189,"St. Louis County, Missouri",8475
17031,"Cook County, Illinois",17111,"McHenry County, Illinois",8450
11001,"District of Columbia, District Of Columbia",24031,"Montgomery County, Maryland",8420
26161,"Washtenaw County, Michigan",26163,"Wayne County, Michigan",8418
34005,"Burlington County, New Jersey",34007,"Camden County, New Jersey",8416
18063,"Hendricks County, Indiana",18097,"Marion County, Indiana",8386
48251,"Johnson County, Texas",48439,"Tarrant County, Texas",8353
08001,"Adams County, Colorado",08005,"Arapahoe County, Colorado",8282
39025,"Clermont County, Ohio",39061,"Hamilton County, Ohio",8164
12069,"Lake County, Florida",12095,"Orange County, Florida",8150
34007,"Camden County, New Jersey",34015,"Gloucester County, New Jersey",7951
45015,"Berkeley County, South Carolina",45019,"Charleston County, South Carolina",7888
39057,"Greene County, Ohio",39113,"Montgomery County, Ohio",7864
51550,"Chesapeake city, Virginia",51810,"Virginia Beach city, Virginia",7831
47037,"Davidson County, Tennessee",47149,"Rutherford County, Tennessee",7829
49011,"Davis County, Utah",49035,"Salt Lake County, Utah",7825
18081,"Johnson County, Indiana",18097,"Marion County, Indiana",7783
34023,"Middlesex County, New Jersey",34039,"Union County, New Jersey",7773
39035,"Cuyahoga County, Ohio",39093,"Lorain County, Ohio",7772
04013,"Maricopa County, Arizona",04019,"Pima County, Arizona",7683
28033,"DeSoto County, Mississippi",47157,"Shelby County, Tennessee",7523
12031,"Duval County, Florida",12109,"St. Johns County, Florida",7516
13057,"Cherokee County, Georgia",13067,"Cobb County, Georgia",7486
16001,"Ada County, Idaho",16027,"Canyon County, Idaho",7470
12081,"Manatee County, Florida",12115,"Sarasota County, Florida",7430
06013,"Contra Costa County, California",06075,"San Francisco County, California",7377
36061,"New York County, New York",36119,"Westchester County, New York",7347
24005,"Baltimore County, Maryland",24025,"Harford County, Maryland",7219
44003,"Kent County, Rhode Island",44007,"Providence County, Rhode Island",7171
26081,"Kent County, Michigan",26139,"Ottawa County, Michigan",7142
48375,"Potter County, Texas",48381,"Randall County, Texas",7124
08005,"Arapahoe County, Colorado",08059,"Jefferson County, Colorado",7115
24003,"Anne Arundel County, Maryland",24033,"Prince George, Maryland",7087
51650,"Hampton city, Virginia",51700,"Newport News city, Virginia",7031
06067,"Sacramento County, California",06113,"Yolo County, California",6995
22015,"Bossier Parish, Louisiana",22017,"Caddo Parish, Louisiana",6915
27003,"Anoka County, Minnesota",27123,"Ramsey County, Minnesota",6898
27037,"Dakota County, Minnesota",27123,"Ramsey County, Minnesota",6871
13063,"Clayton County, Georgia",13151,"Henry County, Georgia",6784
35001,"Bernalillo County, New Mexico",35043,"Sandoval County, New Mexico",6762
41051,"Multnomah County, Oregon",53011,"Clark County, Washington",6735
37119,"Mecklenburg County, North Carolina",37179,"Union County, North Carolina",6716
