county_fips,county_state,total_out_exemptions,total_in_exemptions,net_outflow,median_household_income,umemp_percent,population,rucc,rent50_2,net_outflow_rate
06037,"Los Angeles County, California",245959,158722,87237,41544,7,9519338,1,1037,9.164187677756583
17031,"Cook County, Illinois",171269,93229,78040,42723,7.4,5376741,1,928,14.514368462233907
36047,"Kings County, New York",94744,56729,38015,30672,9,2465326,1,1137,15.419867392791055
36081,"Queens County, New York",96762,60195,36567,38041,7.3,2229379,1,1137,16.402325490641118
48113,"Dallas County, Texas",110981,77897,33084,41256,7.5,2218899,1,850,14.910097305014785
06085,"Santa Clara County, California",75722,49487,26235,68223,8.4,1682585,1,1760,15.59208004350449
06001,"Alameda County, California",79633,55699,23934,56225,6.9,1443741,1,1374,16.577765679578263
06059,"Orange County, California",112946,89676,23270,55909,4.8,2846289,1,1155,8.175557717434877
48201,"Harris County, Texas",121938,98680,23258,42262,6.9,3400578,1,747,6.839425532953515
12086,"Miami-Dade, Florida",69567,47300,22267,33054,4.6,2253362,1,813,9.881679020059803
06073,"San Diego County, California",114115,93641,20474,48766,5.2,2813833,1,1095,7.276195850997554
42101,"Philadelphia County, Pennsylvania",20349,0,20349,30517,7.5,1517550,1,871,13.409113373529703
26163,"Wayne County, Michigan",54844,34673,20171,37903,8.6,2061162,1,771,9.786227380477614
25025,"Suffolk County, Massachusetts",48097,31147,16950,40089,6.5,689807,1,1437,24.57209045428649
36005,"Bronx County, New York",55391,39476,15915,27855,10.5,1332650,1,1137,11.942370464863242
25017,"Middlesex County, Massachusetts",68277,52958,15319,62054,5.3,1465396,1,1437,10.453829545051304
25017,"Middlesex County, Massachusetts",68277,52958,15319,62054,5.3,1465396,1,808,10.453829545051304
25017,"Middlesex County, Massachusetts",68277,52958,15319,62054,5.3,1465396,1,1078,10.453829545051304
42003,"Allegheny County, Pennsylvania",14524,0,14524,41468,5.5,1281666,1,647,11.332125530364385
06075,"San Francisco County, California",47614,33327,14287,51402,6.8,776733,1,2053,18.393708005196125
39035,"Cuyahoga County, Ohio",35739,23030,12709,39551,5.5,1393978,1,748,9.117073583657705
27053,"Hennepin County, Minnesota",56197,43559,12638,53815,4.5,1116200,1,912,11.322343666009674
51059,"Fairfax County, Virginia",73835,62558,11277,82648,3.1,969749,1,1154,11.628782293150083
36061,"New York County, New York",89059,78277,10782,43930,7.4,1537195,1,1137,7.0140743366976865
39061,"Hamilton County, Ohio",30309,19638,10671,44093,5.6,845303,1,695,12.623875699009703
06081,"San Mateo County, California",40933,30648,10285,65110,5.9,707161,1,2053,14.544071293524388
55079,"Milwaukee County, Wisconsin",29603,19524,10079,39146,7,940164,1,709,10.720470045651611
41051,"Multnomah County, Oregon",38139,28193,9946,41781,8.3,660486,1,804,15.058608358087833
34017,"Hudson County, New Jersey",34595,24657,9938,38828,7.4,608975,1,1091,16.319224927131657
13089,"DeKalb County, Georgia",55452,45516,9936,45123,5.4,665865,1,927,14.921943637223762
27123,"Ramsey County, Minnesota",31403,22078,9325,46684,4.7,511035,1,912,18.247282475759977
13121,"Fulton County, Georgia",64087,54785,9302,45896,5.3,816006,1,927,11.399425984612858
42091,"Montgomery County, Pennsylvania",9205,0,9205,65316,4.6,750097,1,871,12.271746187493084
42017,"Bucks County, Pennsylvania",8565,0,8565,62548,4.7,597635,1,871,14.331489956244196
08031,"Denver County, Colorado",47032,38564,8468,41036,7.2,554636,1,945,15.267671049120505
24031,"Montgomery County, Maryland",46499,38172,8327,76669,3.3,873341,1,1154,9.534649123309222
39049,"Franklin County, Ohio",45145,36859,8286,44967,5.5,1068978,1,684,7.751328839321296
18097,"Marion County, Indiana",38941,31129,7812,41478,5.3,860454,1,632,9.078928100746815
34013,"Essex County, New Jersey",32242,24549,7693,42852,7.3,793633,1,949,9.693397325968048
36119,"Westchester County, New York",33284,25826,7458,61979,4.5,923459,1,1339,8.076157143955497
53033,"King County, Washington",71390,64118,7272,53541,5.8,1737034,1,943,4.186446551996104
29189,"St. Louis County, Missouri",45480,38380,7100,51453,5.3,1016315,1,691,6.986023034197075
36059,"Nassau County, New York",45747,38660,7087,71246,4.7,1334544,1,1367,5.310428131256819
06053,"Monterey County, California",17974,10961,7013,45596,9,401762,2,1037,17.455608046554925
17043,"DuPage County, Illinois",57075,50137,6938,64377,5.6,904161,1,928,7.673412146730505
42045,"Delaware County, Pennsylvania",6862,0,6862,49862,5.2,550864,1,871,12.456795143628918
49035,"Salt Lake County, Utah",33287,26691,6596,49076,5.7,898387,2,744,7.342047469520374
11001,"District of Columbia, District Of Columbia",34011,27561,6450,43215,6.8,572059,1,1154,11.275060789184332
42029,"Chester County, Pennsylvania",6401,0,6401,68044,4.1,433501,1,871,14.765825223009866
22071,"Orleans Parish, Louisiana",19009,12704,6305,27478,6.1,484674,1,697,13.00874402175483
51013,"Arlington County, Virginia",23364,17760,5604,67161,2.7,189453,1,1154,29.57989580529208
29510,"St. Louis city, Missouri",21690,16227,5463,28209,8.6,348189,1,691,15.689754702187603
40143,"Tulsa County, Oklahoma",24007,18729,5278,39434,5.7,563299,2,593,9.369801828158757
09001,"Fairfield County, Connecticut",28447,23316,5131,61035,NA,882567,2,933,5.813722924151934
09001,"Fairfield County, Connecticut",28447,23316,5131,61035,NA,882567,2,1130,5.813722924151934
09001,"Fairfield County, Connecticut",28447,23316,5131,61035,NA,882567,2,1550,5.813722924151934
24510,"Baltimore city, Maryland",26854,21741,5113,29162,7.4,651154,1,904,7.852213147734637
47157,"Shelby County, Tennessee",27514,22742,4772,39110,5.9,897472,1,674,5.31715752692006
26125,"Oakland County, Michigan",48180,43427,4753,63658,5.6,1194156,1,771,3.9802169900749984
29095,"Jackson County, Missouri",25008,20419,4589,42167,6.6,654880,1,701,7.007390666992427
34031,"Passaic County, New Jersey",19603,15078,4525,46191,7.3,489049,1,1090,9.252651574791075
06083,"Santa Barbara County, California",15313,10955,4358,45818,5.1,399347,2,1080,10.912815170766276
15003,"Honolulu County, Hawaii",31721,27367,4354,51747,3.8,876156,2,910,4.969434666885806
25009,"Essex County, Massachusetts",25212,20870,4342,50731,6.3,723419,1,1437,6.002054134602492
25009,"Essex County, Massachusetts",25212,20870,4342,50731,6.3,723419,1,965,6.002054134602492
08059,"Jefferson County, Colorado",31878,27595,4283,58851,5.9,527056,1,945,8.12627121216721
51510,"Alexandria city, Virginia",17720,13947,3773,59344,3,128283,1,1154,29.411535433377768
40109,"Oklahoma County, Oklahoma",27590,23961,3629,37421,5.4,660448,1,581,5.494755075342797
47037,"Davidson County, Tennessee",29404,25836,3568,40958,4.5,569891,1,709,6.260846372376472
34039,"Union County, New Jersey",24613,21096,3517,53945,6.3,522541,1,949,6.7305723378643965
24033,"Prince George, Maryland",44736,41247,3489,53716,4.7,801515,1,1154,4.353006493952078
39095,"Lucas County, Ohio",11771,8301,3470,40172,7.7,455054,2,606,7.625468625701565
26081,"Kent County, Michigan",18222,14821,3401,46985,7.2,574335,2,632,5.921631103798306
01073,"Jefferson County, Alabama",20245,16856,3389,38305,5.5,662047,1,596,5.1189719158911675
48141,"El Paso County, Texas",18568,15200,3368,31161,8.8,679622,2,604,4.955695960401518
36055,"Monroe County, New York",15562,12216,3346,44403,5.5,735343,1,668,4.550257498881475
44007,"Providence County, Rhode Island",17667,14337,3330,38728,6.1,621602,1,710,5.357125620573937
36029,"Erie County, New York",15055,11769,3286,40828,5.8,950265,1,623,3.4579827732264157
39113,"Montgomery County, Ohio",17544,14260,3284,41283,6.7,559062,2,621,5.874124873448741
25021,"Norfolk County, Massachusetts",32085,28906,3179,64599,5.1,650308,1,1437,4.8884528561850695
25021,"Norfolk County, Massachusetts",32085,28906,3179,64599,5.1,650308,1,1040,4.8884528561850695
42077,"Lehigh County, Pennsylvania",3082,0,3082,44385,5.7,312090,2,679,9.875356467685604
34003,"Bergen County, New Jersey",33756,30802,2954,64046,5.1,884118,1,1090,3.3411829642649513
06087,"Santa Cruz County, California",9770,6893,2877,50977,7.8,255602,2,1380,11.255780471201321
06097,"Sonoma County, California",14268,11432,2836,52088,5.5,458614,2,1177,6.183849599009188
13067,"Cobb County, Georgia",43235,40401,2834,53000,4.4,607751,1,927,4.663093931560787
06111,"Ventura County, California",26879,24156,2723,57885,5.8,753197,2,1081,3.61525603527364
21111,"Jefferson County, Kentucky",19621,16939,2682,43210,6.1,693604,1,620,3.866759707268124
42071,"Lancaster County, Pennsylvania",2624,0,2624,47499,4.1,470658,2,666,5.575173480531511
42133,"York County, Pennsylvania",2612,0,2612,48025,4.9,381751,2,609,6.842156274639752
51760,"Richmond city, Virginia",12468,9955,2513,31730,5.8,197790,1,780,12.705394610445422
42089,"Monroe County, Pennsylvania",2468,0,2468,48297,5.9,138687,4,764,17.795467491545708
20173,"Sedgwick County, Kansas",12018,9666,2352,43940,6.9,452869,2,594,5.193554869068096
